InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
554139,22483,RED GINGHAM TEDDY BEAR ,6,5/23/2011 10:34,2.95,14911.0,EIRE
540407,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,1/7/2011 9:55,4.95,16839.0,United Kingdom
550332,21843,RED RETROSPOT CAKE STAND,1,4/17/2011 13:53,10.95,13474.0,United Kingdom
536384,22464,HANGING METAL HEART LANTERN,12,12/1/2010 9:53,1.65,18074.0,United Kingdom
538917,22804,CANDLEHOLDER PINK HANGING HEART,2,12/15/2010 10:57,2.95,17449.0,United Kingdom
535085,82482,WOODEN PICTURE FRAME WHITE FINISH,12,11/25/2010 9:48,2.55,12839.0,United Kingdom
564863,23444,Next Day Carriage,1,8/31/2011 10:30,15.0,15491.0,United Kingdom
519905,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,1,8/22/2010 13:36,12.75,14855.0,United Kingdom
513049,20981,12 PENCILS TALL TUBE WOODLAND,12,6/21/2010 13:12,0.85,13911.0,United Kingdom
578233,23391, I LOVE LONDON MINI BACKPACK,2,11/23/2011 12:20,4.15,14049.0,United Kingdom
568211,22398,MAGNETS PACK OF 4 SWALLOWS,12,9/25/2011 15:59,0.39,13429.0,United Kingdom
505941,77101A,UNION FLAG WINDSOCK,72,4/26/2010 14:57,1.06,16858.0,United Kingdom
495360,22090,PAPER BUNTING RETRO SPOTS,6,1/24/2010 12:05,2.95,12703.0,Germany
513183,21655,HANGING RIDGE GLASS T-LIGHT HOLDER,12,6/22/2010 13:19,1.69,13760.0,United Kingdom
525564,20679,EDWARDIAN PARASOL RED,3,10/6/2010 8:17,5.95,13055.0,United Kingdom
566482,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,9/13/2011 9:43,0.39,16609.0,United Kingdom
521871,22627,MINT KITCHEN SCALES,1,9/9/2010 11:20,8.5,16972.0,United Kingdom
520291,20681,PINK SPOTTY CHILDS UMBRELLA,6,8/25/2010 11:34,3.25,13654.0,United Kingdom
573485,23332,IVORY WICKER HEART LARGE,6,10/31/2011 11:37,1.65,15752.0,United Kingdom
502337,84992,72 SWEETHEART FAIRY CAKE CASES,4,3/24/2010 10:45,0.55,17377.0,United Kingdom
536633,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,24,12/2/2010 11:20,0.85,14901.0,United Kingdom
528419,22314,OFFICE MUG WARMER CHOC+BLUE,6,10/22/2010 9:44,2.95,12615.0,France
534327,21832,CHOCOLATE CALCULATOR,6,11/22/2010 11:39,1.65,16005.0,United Kingdom
505730,21532,DAIRY MAID SUGAR JAM BOWL,6,4/25/2010 14:31,2.1,13455.0,United Kingdom
540971,22630,DOLLY GIRL LUNCH BOX,12,1/12/2011 14:10,1.95,12383.0,Belgium
570008,22456,NATURAL SLATE CHALKBOARD LARGE ,6,10/7/2011 9:30,4.95,13359.0,United Kingdom
544646,22927,GREEN GIANT GARDEN THERMOMETER,2,2/22/2011 12:06,5.95,17075.0,United Kingdom
509707,21058,PARTY INVITES WOODLAND,2,5/25/2010 12:15,0.85,17961.0,United Kingdom
544930,22667,RECIPE BOX RETROSPOT ,2,2/24/2011 18:26,2.95,17472.0,United Kingdom
558122,20728,LUNCH BAG CARS BLUE,12,6/27/2011 9:35,1.65,16570.0,United Kingdom
567062,23204,CHARLOTTE BAG APPLES DESIGN,10,9/16/2011 11:48,0.85,16108.0,United Kingdom
555509,21534,DAIRY MAID LARGE MILK JUG,1,6/3/2011 17:07,4.95,13435.0,United Kingdom
522982,22751,FELTCRAFT PRINCESS OLIVIA DOLL,5,9/19/2010 14:03,3.75,12867.0,United Kingdom
547195,22628,PICNIC BOXES SET OF 3 RETROSPOT ,8,3/21/2011 12:42,4.95,17204.0,United Kingdom
500659,16169K,WRAP FOLK ART,25,3/9/2010 11:23,0.42,16558.0,United Kingdom
492246,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,12,12/16/2009 9:41,3.25,13952.0,United Kingdom
505709,21214,SET OF 72 IVORY PAPER DOILIES,1,4/25/2010 12:34,1.45,13050.0,United Kingdom
490302,21155,RED SPOTTY PEG BAG,1,12/4/2009 14:29,2.1,17841.0,United Kingdom
540976,22922,FRIDGE MAGNETS US DINER ASSORTED,12,1/12/2011 15:00,0.85,12652.0,France
552867,23283,DOORMAT VINTAGE LEAVES DESIGN ,10,5/12/2011 8:36,6.75,15513.0,United Kingdom
531869,22709,WRAP WEDDING DAY,25,11/10/2010 11:36,0.42,16358.0,United Kingdom
563557,22505,MEMO BOARD COTTAGE DESIGN,4,8/17/2011 13:33,4.95,15786.0,United Kingdom
578995,21385,IVORY HANGING DECORATION  HEART,2,11/27/2011 15:59,0.85,15861.0,United Kingdom
562540,21248,DOOR HANGER  MUM + DADS ROOM,3,8/5/2011 15:38,1.45,17400.0,United Kingdom
520815,22435,SET OF 9 HEART SHAPED BALLOONS,1,8/31/2010 11:40,1.25,15910.0,United Kingdom
554985,71459,HANGING JAM JAR T-LIGHT HOLDER,12,5/29/2011 12:26,0.85,12426.0,Germany
516011,21191,LARGE WHITE HONEYCOMB PAPER BELL  ,6,7/16/2010 9:45,2.1,14911.0,EIRE
542578,21906,PHARMACIE FIRST AID TIN,2,1/28/2011 14:57,6.75,13709.0,United Kingdom
504406,20990,SPRING FLOWER CHOPSTICKS SET/5,1,4/13/2010 11:55,1.95,17841.0,United Kingdom
504475,22064,PINK DOUGHNUT TRINKET POT ,12,4/14/2010 9:43,1.65,13266.0,United Kingdom
541974,84457,SET/3 RABBITS FLOWER SKIPPPING ROPE,2,1/24/2011 14:16,0.85,14541.0,United Kingdom
578680,82494L,WOODEN FRAME ANTIQUE WHITE ,6,11/25/2011 8:23,2.95,16458.0,United Kingdom
489572,21069,VINTAGE BILLBOARD TEA MUG,2,12/1/2009 13:29,1.25,17611.0,United Kingdom
566625,35651,VINTAGE BEAD PINK SCARF ,12,9/14/2011 9:38,1.65,14911.0,EIRE
507132,21179,NO JUNK MAIL METAL SIGN,12,5/6/2010 12:29,1.25,13576.0,United Kingdom
568883,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,9/29/2011 12:43,4.25,18198.0,United Kingdom
